key_path,value,namespace,section,duplicate_count,classification,phase_a_remappable,proposed_new_key
nether.common.1_column,1 column,nether,common,2,Merge Candidate,no,
nether.common.2_columns,2 columns,nether,common,2,Merge Candidate,no,
nether.common.accessibility_label,Accessibility label,nether,common,2,Merge Candidate,no,
nether.common.accordion,Accordion,nether,common,2,Merge Candidate,no,
nether.common.accordion_icon,Accordion icon,nether,common,1,Section-specific,no,
nether.common.accordion_reveal,Accordion reveal,nether,common,1,Section-specific,no,
nether.common.adapt,Adapt,nether,common,2,Merge Candidate,no,
nether.common.adapt_to_image,Adapt to image,nether,common,2,Merge Candidate,no,
nether.common.analytics_event_name,Analytics event name,nether,common,1,Section-specific,no,
nether.common.animation_speed,Animation speed,nether,common,2,Merge Candidate,no,
nether.common.animation_style,Animation style,nether,common,2,Merge Candidate,no,
nether.common.answer,Answer,nether,common,1,Section-specific,no,
nether.common.arch,Arch,nether,common,2,Shared (excluded — merchant/content/info/preset),no,
nether.common.arrow,Arrow,nether,common,2,Merge Candidate,no,
nether.common.article_link,Article link,nether,common,1,Section-specific,no,
nether.common.author,Author,nether,common,2,Merge Candidate,no,
nether.common.author_image,Author image,nether,common,1,Section-specific,no,
nether.common.author_name,Author name,nether,common,1,Section-specific,no,
nether.common.author_title,Author title,nether,common,2,Merge Candidate,no,
nether.common.automatic,Automatic,nether,common,1,Section-specific,no,
nether.common.award,Award,nether,common,1,Section-specific,no,
nether.common.award_image,Award image,nether,common,1,Section-specific,no,
nether.common.awards_and_recognition,Awards & recognition,nether,common,1,Section-specific,no,
nether.common.background_blur,Background blur,nether,common,2,Merge Candidate,no,
nether.common.background_image,Background image,nether,common,2,Merge Candidate,no,
nether.common.background_image_cta,Background image CTA,nether,common,1,Section-specific,no,
nether.common.background_style,Background style,nether,common,2,Merge Candidate,no,
nether.common.background_video,Background video,nether,common,2,Merge Candidate,no,
nether.common.background_video_cta,Background video CTA,nether,common,1,Section-specific,no,
nether.common.badge_1_image,Badge 1 image,nether,common,2,Merge Candidate,no,
nether.common.badge_1_label,Badge 1 label,nether,common,2,Merge Candidate,no,
nether.common.badge_1_type,Badge 1 type,nether,common,2,Merge Candidate,no,
nether.common.badge_2_image,Badge 2 image,nether,common,2,Merge Candidate,no,
nether.common.badge_2_label,Badge 2 label,nether,common,2,Merge Candidate,no,
nether.common.badge_2_type,Badge 2 type,nether,common,2,Merge Candidate,no,
nether.common.badge_3_image,Badge 3 image,nether,common,2,Merge Candidate,no,
nether.common.badge_3_label,Badge 3 label,nether,common,2,Merge Candidate,no,
nether.common.badge_3_type,Badge 3 type,nether,common,2,Merge Candidate,no,
nether.common.badge_4_image,Badge 4 image,nether,common,2,Merge Candidate,no,
nether.common.badge_4_label,Badge 4 label,nether,common,2,Merge Candidate,no,
nether.common.badge_4_type,Badge 4 type,nether,common,2,Merge Candidate,no,
nether.common.badge_image,Badge image,nether,common,2,Merge Candidate,no,
nether.common.badge_label,Badge label,nether,common,2,Merge Candidate,no,
nether.common.badge_style,Badge style,nether,common,2,Merge Candidate,no,
nether.common.badge_type,Badge type,nether,common,2,Merge Candidate,no,
nether.common.banner_height,Banner height,nether,common,1,Section-specific,no,
nether.common.banner_layout,Banner layout,nether,common,1,Section-specific,no,
nether.common.best_sellers,Best sellers,nether,common,2,Merge Candidate,no,
nether.common.bestseller,Bestseller,nether,common,1,Section-specific,no,
nether.common.blob,Blob,nether,common,2,Shared (excluded — merchant/content/info/preset),no,
nether.common.body,Body,nether,common,3,Shared (excluded — merchant/content/info/preset),no,
nether.common.body_large,Body large,nether,common,2,Merge Candidate,no,
nether.common.bottom,Bottom,nether,common,3,Shared (excluded — merchant/content/info/preset),no,
nether.common.bottom_center,Bottom center,nether,common,2,Merge Candidate,no,
nether.common.bottom_divider,Bottom divider,nether,common,2,Merge Candidate,no,
nether.common.bottom_left,Bottom left,nether,common,3,Shared (excluded — merchant/content/info/preset),no,
nether.common.bottom_right,Bottom right,nether,common,3,Shared (excluded — merchant/content/info/preset),no,
nether.common.bottom_section_divider,Bottom section divider,nether,common,1,Section-specific,no,
nether.common.box,Box,nether,common,2,Merge Candidate,no,
nether.common.brand,Brand,nether,common,2,Merge Candidate,no,
nether.common.brand_logo,Brand logo,nether,common,1,Section-specific,no,
nether.common.brand_logos,Brand logos,nether,common,1,Section-specific,no,
nether.common.brand_story,Brand story,nether,common,2,Merge Candidate,no,
nether.common.bulk,Bulk,nether,common,2,Shared (excluded — merchant/content/info/preset),no,
nether.common.bundle_products,Bundle products,nether,common,2,Merge Candidate,no,
nether.common.bundle_strategy,Bundle strategy,nether,common,2,Merge Candidate,no,
nether.common.button,Button,nether,common,4,Shared (excluded — merchant/content/info/preset),no,
nether.common.button_1_label,Button 1 label,nether,common,2,Merge Candidate,no,
nether.common.button_1_link,Button 1 link,nether,common,2,Merge Candidate,no,
nether.common.button_1_style,Button 1 style,nether,common,2,Merge Candidate,no,
nether.common.button_2_label,Button 2 label,nether,common,2,Merge Candidate,no,
nether.common.button_2_link,Button 2 link,nether,common,2,Merge Candidate,no,
nether.common.button_2_style,Button 2 style,nether,common,2,Merge Candidate,no,
nether.common.button_label,Button label,nether,common,9,Shared (excluded — merchant/content/info/preset),no,
nether.common.button_link,Button link,nether,common,2,Merge Candidate,no,
nether.common.button_reveal_animation,Button reveal animation,nether,common,1,Section-specific,no,
nether.common.button_size,Button size,nether,common,2,Merge Candidate,no,
nether.common.button_style,Button style,nether,common,2,Merge Candidate,no,
nether.common.buttons,Buttons,nether,common,7,Shared (excluded — merchant/content/info/preset),no,
nether.common.buy_box,Buy box,nether,common,1,Section-specific,no,
nether.common.callout_card,Callout card,nether,common,1,Section-specific,no,
nether.common.callout_style,Callout style,nether,common,1,Section-specific,no,
nether.common.caption,Caption,nether,common,5,Shared (excluded — merchant/content/info/preset),no,
nether.common.capture_mode,Capture mode,nether,common,1,Section-specific,no,
nether.common.card,Card,nether,common,5,Shared (excluded — merchant/content/info/preset),no,
nether.common.card_caption,Card caption,nether,common,2,Merge Candidate,no,
nether.common.card_description,Card description,nether,common,2,Merge Candidate,no,
nether.common.card_grid,Card grid,nether,common,1,Section-specific,no,
nether.common.card_heading,Card heading,nether,common,2,Merge Candidate,no,
nether.common.card_image,Card image,nether,common,2,Merge Candidate,no,
nether.common.card_link,Card link,nether,common,1,Section-specific,no,
nether.common.card_radius,Card radius,nether,common,2,Merge Candidate,no,
nether.common.card_reveal,Card reveal,nether,common,1,Section-specific,no,
nether.common.card_reveal_animation,Card reveal animation,nether,common,1,Section-specific,no,
nether.common.card_shadow,Card shadow,nether,common,2,Merge Candidate,no,
nether.common.card_style,Card style,nether,common,2,Merge Candidate,no,
nether.common.carousel,Carousel,nether,common,2,Merge Candidate,no,
nether.common.carousel_testimonials,Carousel testimonials,nether,common,1,Section-specific,no,
nether.common.categorized_faq,Categorized FAQ,nether,common,1,Section-specific,no,
nether.common.category,Category,nether,common,1,Section-specific,no,
nether.common.category_heading,Category heading,nether,common,1,Section-specific,no,
nether.common.category_reveal,Category reveal,nether,common,1,Section-specific,no,
nether.common.category_slug,Category slug,nether,common,1,Section-specific,no,
nether.common.center,Center,nether,common,3,Shared (excluded — merchant/content/info/preset),no,
nether.common.centered,Centered,nether,common,2,Merge Candidate,no,
nether.common.centered_cta,Centered CTA,nether,common,1,Section-specific,no,
nether.common.centered_signup,Centered signup,nether,common,1,Section-specific,no,
nether.common.certification,Certification,nether,common,1,Section-specific,no,
nether.common.certification_image,Certification image,nether,common,1,Section-specific,no,
nether.common.chat,Chat,nether,common,1,Section-specific,no,
nether.common.chat_bubble,Chat bubble,nether,common,2,Merge Candidate,no,
nether.common.check,Check,nether,common,1,Section-specific,no,
nether.common.check_mark,Check mark,nether,common,2,Merge Candidate,no,
nether.common.checkmark,Checkmark,nether,common,2,Merge Candidate,no,
nether.common.chevron_left,Chevron left,nether,common,2,Shared (excluded — merchant/content/info/preset),no,
nether.common.chevron_right,Chevron right,nether,common,2,Shared (excluded — merchant/content/info/preset),no,
nether.common.classic,Classic,nether,common,2,Merge Candidate,no,
nether.common.classic_accordion,Classic accordion,nether,common,1,Section-specific,no,
nether.common.client_side_filter_today_optional_endpoint_url_prepares_futu,Client-side filter today. Optional endpoint URL prepares future AJAX search.,nether,common,1,Section-specific,no,
nether.common.collection,Collection,nether,common,6,Shared (excluded — merchant/content/info/preset),no,
nether.common.collection_products,Collection products,nether,common,1,Section-specific,no,
nether.common.collection_promotion,Collection promotion,nether,common,1,Section-specific,no,
nether.common.collection_promotion_cta,Collection promotion CTA,nether,common,1,Section-specific,no,
nether.common.color_scheme,Color scheme,nether,common,3,Shared (excluded — merchant/content/info/preset),no,
nether.common.comma_separated_lift_shadow_zoom_scale_border_arrow_glow,"Comma-separated: lift, shadow, zoom, scale, border, arrow, glow",nether,common,2,Merge Candidate,no,
nether.common.compact,Compact,nether,common,2,Merge Candidate,no,
nether.common.company,Company,nether,common,1,Section-specific,no,
nether.common.complete_the_look,Complete the look,nether,common,2,Merge Candidate,no,
nether.common.consent_checkbox,Consent checkbox,nether,common,1,Section-specific,no,
nether.common.consent_label,Consent label,nether,common,1,Section-specific,no,
nether.common.consent_required,Consent required,nether,common,1,Section-specific,no,
nether.common.contact_card,Contact card,nether,common,1,Section-specific,no,
nether.common.contact_cta,Contact CTA,nether,common,1,Section-specific,no,
nether.common.content,Content,nether,common,13,Shared (excluded — merchant/content/info/preset),no,
nether.common.content_alignment,Content alignment,nether,common,2,Merge Candidate,no,
nether.common.content_position,Content position,nether,common,2,Merge Candidate,no,
nether.common.content_width,Content width,nether,common,2,Merge Candidate,no,
nether.common.counter,Counter,nether,common,3,Shared (excluded — merchant/content/info/preset),no,
nether.common.counter_reveal,Counter reveal,nether,common,1,Section-specific,no,
nether.common.cta_label,CTA label,nether,common,2,Merge Candidate,no,
nether.common.cta_link,CTA link,nether,common,2,Merge Candidate,no,
nether.common.cta_style,CTA style,nether,common,2,Merge Candidate,no,
nether.common.curated_bundle,Curated bundle,nether,common,2,Merge Candidate,no,
nether.common.custom,Custom,nether,common,3,Shared (excluded — merchant/content/info/preset),no,
nether.common.custom_badge_1,Custom badge 1,nether,common,2,Merge Candidate,no,
nether.common.custom_badge_2,Custom badge 2,nether,common,2,Merge Candidate,no,
nether.common.custom_badge_3,Custom badge 3,nether,common,2,Merge Candidate,no,
nether.common.custom_description,Custom description,nether,common,2,Merge Candidate,no,
nether.common.custom_future_ready,Custom (future-ready),nether,common,1,Section-specific,no,
nether.common.custom_html,Custom HTML,nether,common,5,Shared (excluded — merchant/content/info/preset),no,
nether.common.custom_image,Custom image,nether,common,2,Merge Candidate,no,
nether.common.custom_link,Custom link,nether,common,2,Merge Candidate,no,
nether.common.custom_mobile_image,Custom mobile image,nether,common,2,Merge Candidate,no,
nether.common.custom_spec_1_label,Custom spec 1 label,nether,common,1,Section-specific,no,
nether.common.custom_spec_1_value,Custom spec 1 value,nether,common,1,Section-specific,no,
nether.common.custom_spec_2_label,Custom spec 2 label,nether,common,1,Section-specific,no,
nether.common.custom_spec_2_value,Custom spec 2 value,nether,common,1,Section-specific,no,
nether.common.custom_spec_3_label,Custom spec 3 label,nether,common,1,Section-specific,no,
nether.common.custom_spec_3_value,Custom spec 3 value,nether,common,1,Section-specific,no,
nether.common.custom_title,Custom title,nether,common,2,Merge Candidate,no,
nether.common.customer_tags,Customer tags,nether,common,1,Section-specific,no,
nether.common.customer_testimonial,Customer testimonial,nether,common,1,Section-specific,no,
nether.common.date,Date,nether,common,2,Merge Candidate,no,
nether.common.decorative_shapes,Decorative shapes,nether,common,2,Merge Candidate,no,
nether.common.default,Default,nether,common,3,Shared (excluded — merchant/content/info/preset),no,
nether.common.default_card_cta_label,Default card CTA label,nether,common,2,Merge Candidate,no,
nether.common.default_card_cta_style,Default card CTA style,nether,common,2,Merge Candidate,no,
nether.common.delivery_message,Delivery message,nether,common,1,Section-specific,no,
nether.common.description,Description,nether,common,4,Shared (excluded — merchant/content/info/preset),no,
nether.common.desktop_columns,Desktop columns,nether,common,2,Merge Candidate,no,
nether.common.desktop_image,Desktop image,nether,common,2,Merge Candidate,no,
nether.common.desktop_layout,Desktop layout,nether,common,2,Merge Candidate,no,
nether.common.diamond,Diamond,nether,common,2,Shared (excluded — merchant/content/info/preset),no,
nether.common.discount,Discount,nether,common,2,Merge Candidate,no,
nether.common.discount_signup,Discount signup,nether,common,1,Section-specific,no,
nether.common.displays_a_bundles_framework_extension_point_under_this_show,Displays a Bundles Framework extension point under this showcase. Add a Nether Bundles section for packs and gift sets.,nether,common,1,Section-specific,no,
nether.common.displays_a_future_ready_recommendations_framework_extension_,Displays a future-ready Recommendations Framework extension point under this showcase. Add a Nether Recommendations section for live product recommendations.,nether,common,1,Section-specific,no,
nether.common.divider,Divider,nether,common,2,Shared (excluded — merchant/content/info/preset),no,
nether.common.divider_style,Divider style,nether,common,2,Merge Candidate,no,
nether.common.dots,Dots,nether,common,3,Shared (excluded — merchant/content/info/preset),no,
nether.common.dramatic,Dramatic,nether,common,2,Merge Candidate,no,
nether.common.dual_cta_buttons,Dual CTA buttons,nether,common,1,Section-specific,no,
nether.common.early_access_waitlist,Early access / waitlist,nether,common,1,Section-specific,no,
nether.common.editorial,Editorial,nether,common,3,Shared (excluded — merchant/content/info/preset),no,
nether.common.editorial_cta,Editorial CTA,nether,common,1,Section-specific,no,
nether.common.editorial_emphasis,Editorial emphasis,nether,common,2,Merge Candidate,no,
nether.common.editorial_faq,Editorial FAQ,nether,common,1,Section-specific,no,
nether.common.editorial_grid,Editorial grid,nether,common,2,Merge Candidate,no,
nether.common.editorial_newsletter,Editorial newsletter,nether,common,1,Section-specific,no,
nether.common.editorial_testimonials,Editorial testimonials,nether,common,1,Section-specific,no,
nether.common.elevated,Elevated,nether,common,2,Merge Candidate,no,
nether.common.email_field,Email field,nether,common,1,Section-specific,no,
nether.common.email_label,Email label,nether,common,1,Section-specific,no,
nether.common.enable_analytics_hooks,Enable analytics hooks,nether,common,1,Section-specific,no,
nether.common.enable_category_navigation,Enable category navigation,nether,common,1,Section-specific,no,
nether.common.enable_compare_on_cards,Enable compare on cards,nether,common,2,Merge Candidate,no,
nether.common.enable_faq_search,Enable FAQ search,nether,common,1,Section-specific,no,
nether.common.enable_glass_card,Enable glass card,nether,common,2,Merge Candidate,no,
